taxonomy	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6
Fungi;Ascomycota;Dothideomycetes;Dothideomycetes_order_incertae_sedis;Botryosphaeriaceae;Botryosphaeria	9	5	34	6	76	41
Fungi;Ascomycota;Dothideomycetes;Dothideomycetes_order_incertae_sedis;Botryosphaeriaceae;Other	0	8	0	NA	0	0
Fungi;Ascomycota;Dothideomycetes;Dothideomycetes_order_incertae_sedis;Botryosphaeriaceae;Sphaeropsis	1	10	NA	7	1	2
Fungi;Ascomycota;Dothideomycetes;Dothideomycetes_order_incertae_sedis;Botryosphaeriaceae;Stenocarpella	1	18	4	9	4	13
Fungi;Ascomycota;Dothideomycetes;Dothideomycetes_order_incertae_sedis;Botryosphaeriaceae;unclassified_Botryosphaeriaceae_genus	69	357	214	247	272	251
Fungi;Ascomycota;Dothideomycetes;Dothideomycetes_order_incertae_sedis;Dothideomycetes_family_incertae_sedis;Cenococcum	0	1	3	0	0	1
Fungi;Ascomycota;Dothideomycetes;Dothideomycetes_order_incertae_sedis;Dothideomycetes_family_incertae_sedis;Epicoccum	1437	1140	1084	801	735	1009
Fungi;Ascomycota;Dothideomycetes;Dothideomycetes_order_incertae_sedis;Eremomycetaceae;Other	19	2	14	8	18	0
Fungi;Ascomycota;Dothideomycetes;Dothideomycetes_order_incertae_sedis;Micropeltidaceae;Stomiopeltis	3	0	0	0	0	4
Fungi;Ascomycota;Dothideomycetes;Dothideomycetes_order_incertae_sedis;Other;Other	4	1	2	0	0	3
Fungi;Ascomycota;Dothideomycetes;Dothideomycetes_order_incertae_sedis;Tubeufiaceae;Acanthostigma	0	0	0	2	0	4
Fungi;Ascomycota;Dothideomycetes;Dothideomycetes_order_incertae_sedis;Tubeufiaceae;Helicoma	0	0	0	0	0	4
Fungi;Ascomycota;Dothideomycetes;Dothideomycetes_order_incertae_sedis;Tubeufiaceae;Other	4	3	4	1	4	13
Fungi;Ascomycota;Dothideomycetes;Dothideomycetes_order_incertae_sedis;Venturiaceae;Other	11	15	17	4	17	12
Fungi;Ascomycota;Dothideomycetes;Dothideomycetes_order_incertae_sedis;Venturiaceae;Venturia	11	94	26	32	13	9
Fungi;Ascomycota;Dothideomycetes;Dothideomycetes_order_incertae_sedis;Venturiaceae;unclassified_Venturiaceae_genus	106	9	18	1	12	22
Fungi;Ascomycota;Dothideomycetes;Myriangiales;Elsinoaceae;Elsinoe	10	1	18	15	10	4
Fungi;Ascomycota;Dothideomycetes;Myriangiales;Elsinoaceae;Other	3	0	13	0	4	0
Fungi;Ascomycota;Dothideomycetes;Myriangiales;Elsinoaceae;unclassified_Elsinoaceae_genus	9	17	9	5	0	1
Fungi;Ascomycota;Dothideomycetes;Myriangiales;Myriangiaceae;Other	5	0	9	16	2	0
Fungi;Ascomycota;Dothideomycetes;Myriangiales;Other;Other	0	3	20	8	2	18
Fungi;Ascomycota;Dothideomycetes;Myriangiales;unclassified_Myriangiales_family;unclassified_Myriangiales_genus	0	0	4	1	0	0
Fungi;Ascomycota;Dothideomycetes;Other;Other;Other	4644	5188	3620	3475	3055	3789
Fungi;Ascomycota;Dothideomycetes;Patellariales;Patellariaceae;Rhytidhysteron	5	30	8	11	0	20
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Cucurbitariaceae;Curreya	10	28	12	24	24	120
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymosphaeriaceae;Didymosphaeria	3	0	0	0	1	5
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Leptosphaeriaceae;Ampelomyces	6	83	9	11	1	2
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Leptosphaeriaceae;Leptosphaeria	645	1235	2541	848	5420	4256
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Lophiostomataceae;Lophiostoma	120	251	462	299	605	1360
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Massarinaceae;Massarina	10	9	3	6	16	20
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Montagnulaceae;Letendraea	0	1	0	2	8	4
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Montagnulaceae;Other	37	78	144	54	181	468
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Montagnulaceae;Paraconiothyrium	152	388	473	493	241	3914
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Montagnulaceae;Paraphaeosphaeria	2	8	12	9	37	53
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Other;Other	43250	49391	35356	25352	23309	33240
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Phaeosphaeriaceae;Eudarluca	NA	2	1	2	2	1
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Phaeosphaeriaceae;Other	138	138	119	88	85	152
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Phaeosphaeriaceae;Phaeosphaeria	265	635	473	221	1457	505
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleomassariaceae;Asteromassaria	0	0	0	0	0	33
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Alternaria	2411	2556	1271	875	1735	1361
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Bipolaris	2773	4542	1107	2218	1053	1285
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Cochliobolus	254	175	131	123	154	169
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Curvularia	196	324	96	82	94	447
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Dendryphiella	0	9	4	3	3	35
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Dendryphion	7	0	6	2	1	1
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Drechslera	0	15	0	0	3	1
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Embellisia	59	69	23	23	20	21
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Exserohilum	55	25	54	24	27	41
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Lewia	383	223	305	71	543	149
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Other	3146	4239	2067	1507	2222	2339
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Pyrenochaeta	4	11	1	17	129	18
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Pyrenophora	15	33	32	11	121	92
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Stagonospora	87	62	533	54	1675	460
