taxonomy	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6
Fungi;Ascomycota;Leotiomycetes;unclassified_Leotiomycetes_order;unclassified_Leotiomycetes_family;unclassified_Leotiomycetes_genus	4	3	3	6	0	26
Fungi;Ascomycota;Orbiliomycetes;Orbiliales;Orbiliaceae;Arthrobotrys	10	1	0	0	7	1
Fungi;Ascomycota;Orbiliomycetes;Orbiliales;Orbiliaceae;Dactylaria	37	34	17	21	8	15
Fungi;Ascomycota;Orbiliomycetes;Orbiliales;Orbiliaceae;Dactylella	0	0	0	1	3	5
Fungi;Ascomycota;Other;Other;Other;Other	6636	8608	7689	4425	5875	8528
Fungi;Ascomycota;Pezizomycetes;Other;Other;Other	0	0	8	0	1	1
Fungi;Ascomycota;Pezizomycetes;Pezizales;Ascobolaceae;Ascobolus	9	4	86	19	1	10
Fungi;Ascomycota;Pezizomycetes;Pezizales;Discinaceae;Gyromitra	0	2	0	0	3	6
Fungi;Ascomycota;Pezizomycetes;Pezizales;Morchellaceae;Disciotis	0	10	0	8	2	3
Fungi;Ascomycota;Pezizomycetes;Pezizales;Morchellaceae;Morchella	21	243	6	11	23	188
Fungi;Ascomycota;Pezizomycetes;Pezizales;Other;Other	7	3	0	1	2	17
Fungi;Ascomycota;Pezizomycetes;Pezizales;Pezizaceae;Pachyphloeus	0	4	0	0	0	0
Fungi;Ascomycota;Pezizomycetes;Pezizales;Pezizaceae;Peziza	0	3	1	1	20	4
Fungi;Ascomycota;Pezizomycetes;Pezizales;Pezizaceae;Ruhlandiella	0	0	0	5	2	2
Fungi;Ascomycota;Pezizomycetes;Pezizales;Pezizaceae;unclassified_Pezizaceae_genus	0	0	5	0	12	8
Fungi;Ascomycota;Pezizomycetes;Pezizales;Pyronemataceae;Other	0	0	18	0	0	0
Fungi;Ascomycota;Pezizomycetes;Pezizales;Pyronemataceae;Pseudaleuria	0	2	0	2	0	0
Fungi;Ascomycota;Pezizomycetes;Pezizales;Sarcosomataceae;Plectania	1	4	0	0	12	19
Fungi;Ascomycota;Pezizomycetes;Pezizales;Sarcosomataceae;unclassified_Sarcosomataceae_genus	3	16	0	2	0	0
Fungi;Ascomycota;Pezizomycetes;Pezizales;Tuberaceae;unclassified_Tuberaceae_genus	0	0	1	4	5	11
Fungi;Ascomycota;Pezizomycetes;unclassified_Pezizomycetes_order;unclassified_Pezizomycetes_family;unclassified_Pezizomycetes_genus	11	37	5	36	38	60
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Galactomyces	49	125	101	116	70	97
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Geotrichum	0	8	0	0	0	0
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Yarrowia	11	24	4	26	0	44
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Lipomycetaceae;Lipomyces	0	3	0	1	0	0
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Metschnikowiaceae;Clavispora	6	55	0	20	1	15
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Metschnikowiaceae;Metschnikowia	0	4	1	0	0	0
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Other;Other	1	4	7	2	0	2
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kazachstania	4	19	18	3	3	3
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Pichia	5	18	7	3	5	6
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces	25	61	29	47	19	21
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Torulaspora	0	1	0	13	1	2
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Zygosaccharomyces	0	7	0	0	1	0
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetales_family_incertae_sedis;Candida	13	114	80	44	16	27
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetales_family_incertae_sedis;Debaryomyces	68	29	108	15	16	13
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycodaceae;Hanseniaspora	9	16	17	4	3	2
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;unclassified_Saccharomycetales_family;unclassified_Saccharomycetales_genus	15	15	9	2	0	1
Fungi;Ascomycota;Saccharomycetes;unclassified_Saccharomycetes_order;unclassified_Saccharomycetes_family;unclassified_Saccharomycetes_genus	0	12	1	4	0	7
Fungi;Ascomycota;Sordariomycetes;Calosphaeriales;Calosphaeriaceae;Phaeoacremonium	2	1	7	3	4	8
Fungi;Ascomycota;Sordariomycetes;Chaetosphaeriales;Chaetosphaeriaceae;Chaetosphaeria	3	0	0	0	0	2
Fungi;Ascomycota;Sordariomycetes;Chaetosphaeriales;Chaetosphaeriaceae;Other	0	0	0	NA	0	4
Fungi;Ascomycota;Sordariomycetes;Coniochaetales;Coniochaetaceae;Lecythophora	0	1	8	4	4	2
Fungi;Ascomycota;Sordariomycetes;Coniochaetales;Coniochaetaceae;Other	0	0	6	0	0	0
Fungi;Ascomycota;Sordariomycetes;Diaporthales;Diaporthales_family_incertae_sedis;Diaporthe	0	4	11	1	11	35
Fungi;Ascomycota;Sordariomycetes;Diaporthales;Diaporthales_family_incertae_sedis;Harknessia	7	5	10	7	7	9
Fungi;Ascomycota;Sordariomycetes;Diaporthales;Diaporthales_family_incertae_sedis;Other	1	4	8	2	1	8
Fungi;Ascomycota;Sordariomycetes;Diaporthales;Diaporthales_family_incertae_sedis;Valsaria	0	0	0	1	8	0
Fungi;Ascomycota;Sordariomycetes;Diaporthales;Gnomoniaceae;Gnomonia	0	5	0	0	0	4
Fungi;Ascomycota;Sordariomycetes;Diaporthales;Gnomoniaceae;Other	0	1	7	0	65	4
Fungi;Ascomycota;Sordariomycetes;Diaporthales;Gnomoniaceae;unclassified_Gnomoniaceae_genus	10	12	2	1	64	147
Fungi;Ascomycota;Sordariomycetes;Diaporthales;Melanconidaceae;Dicarpella	0	0	1	1	2	0
Fungi;Ascomycota;Sordariomycetes;Diaporthales;Melanconidaceae;Pilidiella	0	1	0	0	8	13
Fungi;Ascomycota;Sordariomycetes;Diaporthales;Other;Other	2	37	10	9	131	197
Fungi;Ascomycota;Sordariomycetes;Diaporthales;Valsaceae;Other	13	23	106	28	42	37
Fungi;Ascomycota;Sordariomycetes;Diaporthales;Valsaceae;Phomopsis	9	37	18	10	172	279
Fungi;Ascomycota;Sordariomycetes;Diaporthales;Valsaceae;Valsa	9	26	73	4	40	35
Fungi;Ascomycota;Sordariomycetes;Diaporthales;unclassified_Diaporthales_family;unclassified_Diaporthales_genus	18	76	105	22	368	440
Fungi;Ascomycota;Sordariomycetes;Glomerellales;Glomerellales_family_incertae_sedis;Colletotrichum	4	6	7	2	23	21
Fungi;Ascomycota;Sordariomycetes;Glomerellales;Glomerellales_family_incertae_sedis;Glomerella	5	3	5	4	348	158
Fungi;Ascomycota;Sordariomycetes;Glomerellales;Glomerellales_family_incertae_sedis;Other	1	12	53	5	22	116
Fungi;Ascomycota;Sordariomycetes;Glomerellales;Other;Other	18	15	24	16	47	49
Fungi;Ascomycota;Sordariomycetes;Glomerellales;Plectosphaerellaceae;Other	4	2	1	1	9	23
Fungi;Ascomycota;Sordariomycetes;Glomerellales;Plectosphaerellaceae;Plectosphaerella	94	119	111	75	396	270
Fungi;Ascomycota;Sordariomycetes;Glomerellales;Plectosphaerellaceae;Verticilium	17	6	6	3	2	6
Fungi;Ascomycota;Sordariomycetes;Glomerellales;Plectosphaerellaceae;unclassified_Plectosphaerellaceae_genus	40	10	55	5	107	6
Fungi;Ascomycota;Sordariomycetes;Glomerellales;unclassified_Glomerellales_family;unclassified_Glomerellales_genus	1	0	162	3	2	10
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Bionectriaceae;Bionectria	4	1	16	4	2	5
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Bionectriaceae;Geosmithia	2	6	8	1	33	1
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Bionectriaceae;Other	0	3	1	0	5	2
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Bionectriaceae;unclassified_Bionectriaceae_genus	1	1	0	7	6	13
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Clavicipitaceae;Claviceps	0	3	6	1	9	8
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Clavicipitaceae;Metarhizium	14	26	4	5	17	4
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Clavicipitaceae;Paecilomyces	1	10	0	12	2	1
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Clavicipitaceae;Pochonia	0	4	14	5	1	2
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Hypocrea	40	62	86	54	46	88
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Hypomyces	1	0	0	0	8	0
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;unclassified_Hypocreaceae_genus	16	139	14	11	6	14
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreales_family_incertae_sedis;Acremonium	1	2	0	1	0	1
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreales_family_incertae_sedis;Beauveria	66	119	60	45	30	53
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreales_family_incertae_sedis;Cordyceps	204	296	77	132	26	218
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreales_family_incertae_sedis;Emericellopsis	10	1	11	0	0	0
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreales_family_incertae_sedis;Fusarium	794	875	1126	648	1402	745
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreales_family_incertae_sedis;Hirsutella	0	0	7	0	0	0
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreales_family_incertae_sedis;Isaria	31	141	24	29	23	76
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreales_family_incertae_sedis;Lecanicillium	1	2	6	1	1	10
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreales_family_incertae_sedis;Myrothecium	22	49	17	41	17	22
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreales_family_incertae_sedis;Other	16	14	23	15	39	7
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreales_family_incertae_sedis;Sarocladium	111	159	66	38	227	80
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreales_family_incertae_sedis;Simplicillium	11	3	0	0	2	4
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreales_family_incertae_sedis;Stachybotrys	120	149	105	86	32	52
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreales_family_incertae_sedis;Stilbella	3	3	1	1	1	2
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreales_family_incertae_sedis;Trichothecium	3	1	1	1	4	1
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreales_family_incertae_sedis;Verticillium	0	7	6	0	3	6
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Cosmospora	3	8	4	0	21	41
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Gibberella	197	337	344	187	571	322
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Nectria	71	113	79	70	20	81
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Neonectria	0	0	0	10	0	1
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Other	12	10	16	11	60	59
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Pseudonectria	0	2	1	0	2	1
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Stephanonectria	1	0	7	1	0	2
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Thelonectria	24	9	31	2	31	1
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Other;Other	301	350	191	229	341	440
Fungi;Ascomycota;Sordariomycetes;Hypocreales;unclassified_Hypocreales_family;unclassified_Hypocreales_genus	138	119	140	100	346	213
Fungi;Ascomycota;Sordariomycetes;Microascales;Ceratocystidaceae;Ceratocystis	0	3	26	6	2	61
Fungi;Ascomycota;Sordariomycetes;Microascales;Halosphaeriaceae;Periconia	1898	1999	2302	1307	3255	2268
Fungi;Ascomycota;Sordariomycetes;Microascales;Microascaceae;Kernia	51	9	92	27	9	5
Fungi;Ascomycota;Sordariomycetes;Microascales;Microascaceae;Other	0	2	2	1	50	0
Fungi;Ascomycota;Sordariomycetes;Microascales;Microascaceae;Petriella	51	17	12	4	13	3
Fungi;Ascomycota;Sordariomycetes;Microascales;Microascaceae;Scedosporium	75	46	122	40	25	20
Fungi;Ascomycota;Sordariomycetes;Microascales;Microascales_family_incertae_sedis;Other	20	15	44	14	7	6
Fungi;Ascomycota;Sordariomycetes;Microascales;Microascales_family_incertae_sedis;Scopulariopsis	280	141	226	151	99	51
Fungi;Ascomycota;Sordariomycetes;Microascales;Microascales_family_incertae_sedis;Sphaeronaemella	5	24	9	13	5	18
Fungi;Ascomycota;Sordariomycetes;Microascales;Other;Other	461	245	407	187	85	61
Fungi;Ascomycota;Sordariomycetes;Ophiostomatales;Ophiostomataceae;Cornuvesica	0	3	1	15	6	8
Fungi;Ascomycota;Sordariomycetes;Ophiostomatales;Ophiostomataceae;unclassified_Ophiostomataceae_genus	0	0	3	0	1	0
Fungi;Ascomycota;Sordariomycetes;Other;Other;Other	143	162	163	116	53	42
Fungi;Ascomycota;Sordariomycetes;Sordariales;Chaetomiaceae;Chaetomium	654	503	907	349	141	140
Fungi;Ascomycota;Sordariomycetes;Sordariales;Chaetomiaceae;Corynascus	26	19	65	2	6	5
Fungi;Ascomycota;Sordariomycetes;Sordariales;Chaetomiaceae;Other	28	43	65	43	13	7
Fungi;Ascomycota;Sordariomycetes;Sordariales;Chaetomiaceae;Thielavia	1	0	0	0	8	3
Fungi;Ascomycota;Sordariomycetes;Sordariales;Chaetomiaceae;Zopfiella	11	0	4	4	0	0
Fungi;Ascomycota;Sordariomycetes;Sordariales;Lasiosphaeriaceae;Cercophora	0	8	2	0	1	0
Fungi;Ascomycota;Sordariomycetes;Sordariales;Lasiosphaeriaceae;Other	9	6	229	11	19	31
Fungi;Ascomycota;Sordariomycetes;Sordariales;Lasiosphaeriaceae;Podospora	2	18	10	6	7	6
Fungi;Ascomycota;Sordariomycetes;Sordariales;Lasiosphaeriaceae;unclassified_Lasiosphaeriaceae_genus	1	1	2	0	3	3
Fungi;Ascomycota;Sordariomycetes;Sordariales;Other;Other	66	32	95	73	18	9
Fungi;Ascomycota;Sordariomycetes;Sordariales;Sordariaceae;Neurospora	1139	851	936	815	705	792
Fungi;Ascomycota;Sordariomycetes;Sordariomycetes_order_incertae_sedis;Apiosporaceae;Arthrinium	343	369	352	272	74	98
Fungi;Ascomycota;Sordariomycetes;Sordariomycetes_order_incertae_sedis;Magnaporthaceae;Magnaporthe	30	45	14	8	228	64
Fungi;Ascomycota;Sordariomycetes;Sordariomycetes_order_incertae_sedis;Magnaporthaceae;Other	4	6	10	1	21	21
Fungi;Ascomycota;Sordariomycetes;Sordariomycetes_order_incertae_sedis;Magnaporthaceae;Phialophora	19	5	18	6	73	57
Fungi;Ascomycota;Sordariomycetes;Trichosphaeriales;Trichosphaeriales_family_incertae_sedis;Nigrospora	1944	2277	1453	994	1031	1302
Fungi;Ascomycota;Sordariomycetes;Xylariales;Amphisphaeriaceae;Other	89	123	174	170	411	462
Fungi;Ascomycota;Sordariomycetes;Xylariales;Amphisphaeriaceae;Pestalotiopsis	121	163	83	74	109	185
Fungi;Ascomycota;Sordariomycetes;Xylariales;Amphisphaeriaceae;Seiridium	9	19	12	6	5	32
Fungi;Ascomycota;Sordariomycetes;Xylariales;Amphisphaeriaceae;Truncatella	173	298	154	196	257	567
Fungi;Ascomycota;Sordariomycetes;Xylariales;Amphisphaeriaceae;unclassified_Amphisphaeriaceae_genus	0	16	0	2	7	50
Fungi;Ascomycota;Sordariomycetes;Xylariales;Diatrypaceae;Diatrype	0	3	17	18	1	6
Fungi;Ascomycota;Sordariomycetes;Xylariales;Diatrypaceae;Diatrypella	15	41	73	58	10	30
Fungi;Ascomycota;Sordariomycetes;Xylariales;Diatrypaceae;Eutypella	96	518	1937	276	1319	1140
Fungi;Ascomycota;Sordariomycetes;Xylariales;Diatrypaceae;Other	1	57	83	28	1	8
Fungi;Ascomycota;Sordariomycetes;Xylariales;Diatrypaceae;unclassified_Diatrypaceae_genus	0	26	5	0	4	17
Fungi;Ascomycota;Sordariomycetes;Xylariales;Other;Other	126	64	152	41	182	197
Fungi;Ascomycota;Sordariomycetes;Xylariales;Xylariaceae;Annulohypoxylon	0	6	0	1	1	19
Fungi;Ascomycota;Sordariomycetes;Xylariales;Xylariaceae;Biscogniauxia	4	3	1	3	21	6
Fungi;Ascomycota;Sordariomycetes;Xylariales;Xylariaceae;Daldinia	10	11	18	4	7	39
Fungi;Ascomycota;Sordariomycetes;Xylariales;Xylariaceae;Hypoxylon	8	12	7	6	5	33
Fungi;Ascomycota;Sordariomycetes;Xylariales;Xylariaceae;Nemania	8	0	1	0	7	1
Fungi;Ascomycota;Sordariomycetes;Xylariales;Xylariaceae;Nodulisporium	0	1	0	1	2	0
Fungi;Ascomycota;Sordariomycetes;Xylariales;Xylariaceae;Other	32	182	33	31	123	661
Fungi;Ascomycota;Sordariomycetes;Xylariales;Xylariaceae;Podosordaria	0	0	0	1	0	23
Fungi;Ascomycota;Sordariomycetes;Xylariales;Xylariaceae;Rosellinia	82	12	33	3	31	8
Fungi;Ascomycota;Sordariomycetes;Xylariales;Xylariaceae;Whalleya	0	3	0	0	3	4
Fungi;Ascomycota;Sordariomycetes;Xylariales;Xylariaceae;Xylaria	23	63	17	20	79	138
Fungi;Ascomycota;Sordariomycetes;Xylariales;Xylariaceae;unclassified_Xylariaceae_genus	1	6	4	0	11	7
Fungi;Ascomycota;Sordariomycetes;Xylariales;Xylariales_family_incertae_sedis;Dicyma	49	127	12	13	123	117
Fungi;Ascomycota;Sordariomycetes;Xylariales;Xylariales_family_incertae_sedis;Microdochium	45	162	53	76	189	155
Fungi;Ascomycota;Sordariomycetes;Xylariales;unclassified_Xylariales_family;unclassified_Xylariales_genus	3	9	0	0	5	8
Fungi;Ascomycota;Sordariomycetes;unclassified_Sordariomycetes_order;unclassified_Sordariomycetes_family;unclassified_Sordariomycetes_genus	213	288	147	145	567	670
Fungi;Ascomycota;Taphrinomycetes;Taphrinales;Protomycetaceae;Protomyces	0	5	6	0	3	0
Fungi;Ascomycota;Taphrinomycetes;Taphrinales;Taphrinaceae;Other	5	6	1	0	2	1
Fungi;Ascomycota;Taphrinomycetes;Taphrinales;Taphrinaceae;Taphrina	68	39	43	25	28	32
Fungi;Ascomycota;unclassified_Ascomycota_class;unclassified_Ascomycota_order;unclassified_Ascomycota_family;unclassified_Ascomycota_genus	2614	2238	2919	1499	2536	1443
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Agaricaceae;Agaricus	34	72	311	6	810	784
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Agaricaceae;Battarrea	8	14	20	9	1	16
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Agaricaceae;Chlorophyllum	0	4	0	0	18	1
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Agaricaceae;Coprinus	0	0	0	5	22	17
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Agaricaceae;Cystolepiota	0	0	0	0	10	12
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Agaricaceae;Lepiota	4	1	7	0	54	49
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Agaricaceae;Leucoagaricus	0	8	0	0	42	67
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Agaricaceae;Other	0	0	0	0	4	0
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Agaricaceae;Tulostoma	4	17	71	45	7	29
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Agaricaceae;unclassified_Agaricaceae_genus	0	0	0	0	1	3
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Agaricales_family_incertae_sedis;Inocybe	0	53	1	1	23	72
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Agaricales_family_incertae_sedis;Lentinula	0	0	0	0	11	23
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Agaricales_family_incertae_sedis;Marasmiellus	0	2	0	0	2	20
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Agaricales_family_incertae_sedis;Marasmius	3	62	9	9	188	1399
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Agaricales_family_incertae_sedis;Moniliophthora	0	3	3	22	2	0
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Agaricales_family_incertae_sedis;Tetrapyrgos	0	10	0	0	44	52
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita	0	4	1	0	15	11
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Bolbitiaceae;Agrocybe	6	14	6	0	28	25
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Bolbitiaceae;Conocybe	0	0	0	0	36	25
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Bolbitiaceae;Panaeolus	1	8	1	10	114	23
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Chromocyphellaceae;Phaeosolenia	0	0	0	0	5	0
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Cortinariaceae;Cortinarius	2	62	0	7	62	86
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Cortinariaceae;Gymnopilus	7	14	0	0	28	23
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Cortinariaceae;Hebeloma	1	5	0	0	35	16
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Cortinariaceae;Phaeocollybia	1	8	6	1	0	13
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Crepidotaceae;Crepidotus	13	61	0	0	185	339
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Entolomataceae;Clitopilus	5	14	6	4	121	260
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Entolomataceae;Entoloma	0	7	5	0	11	19
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Entolomataceae;Other	1	8	0	0	19	21
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Entolomataceae;Rhodocybella	0	4	0	0	0	1
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Hygrophoraceae;Hygrocybe	0	0	0	0	1	5
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Hygrophoraceae;Hygrophorus	1	2	0	0	4	8
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Lycoperdaceae;Bovista	1	1	0	3	0	5
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Lycoperdaceae;Calvatia	8	25	2	9	2	10
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Lycoperdaceae;Lycoperdon	1	4	0	0	6	22
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Lycoperdaceae;Other	43	186	112	180	137	519
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Lycoperdaceae;unclassified_Lycoperdaceae_genus	21	98	60	102	107	461
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Lyophyllaceae;Hypsizygus	0	5	5	1	305	95
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Lyophyllaceae;Lyophyllum	2	7	0	0	10	18
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Lyophyllaceae;Tephrocybe	0	0	0	0	0	6
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Mycenastraceae;Mycenastrum	5	9	1	3	281	71
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Nidulariaceae;Cyathus	0	0	1	4	0	0
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Other;Other	13	33	8	14	71	129
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Physalacriaceae;Armillaria	0	19	0	0	29	31
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Physalacriaceae;Flammulina	5	9	2	1	36	31
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Physalacriaceae;Gloiocephala	0	0	0	0	0	10
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Physalacriaceae;Oudemansiella	3	3	11	11	72	32
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Physalacriaceae;Strobilurus	0	51	29	62	4	10
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Pleurotaceae;Nematoctonus	1	3	4	0	533	202
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Pleurotaceae;Other	0	1	0	0	12	2
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Pleurotaceae;Pleurotus	423	205	2893	128	520	171
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Pleurotaceae;unclassified_Pleurotaceae_genus	1	1	0	0	56	114
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Pluteaceae;Other	0	0	0	0	4	0
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Pluteaceae;Pluteus	8	25	9	13	37	95
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Psathyrellaceae;Coprinellus	5221	1849	19088	662	58800	12909
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Psathyrellaceae;Coprinopsis	691	157	1315	83	1616	1014
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Psathyrellaceae;Other	10	5	9	2	581	157
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Psathyrellaceae;Psathyrella	36	87	81	21	1522	2158
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Psathyrellaceae;unclassified_Psathyrellaceae_genus	9	7	0	0	49	17
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Schizophyllaceae;Chondrostereum	0	0	1	0	3	1
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Schizophyllaceae;Lenzites	0	5	2	1	0	14
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Schizophyllaceae;Porotheleum	0	0	0	0	2	14
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Schizophyllaceae;Schizophyllum	10	26	25	0	643	247
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Strophariaceae;Galerina	1	7	0	0	6	31
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Strophariaceae;Hypholoma	30	107	8	14	324	703
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Strophariaceae;Other	0	1	0	0	15	16
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Strophariaceae;Pholiota	10	59	6	1	207	287
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Strophariaceae;Pleuroflammula	0	1	0	0	0	3
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Strophariaceae;Psilocybe	9	50	1	0	32	44
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Strophariaceae;Stropharia	0	14	3	0	38	58
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Strophariaceae;Tubaria	0	3	0	0	21	34
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Tricholomataceae;Calyptella	0	4	2	1	147	232
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Tricholomataceae;Clitocybe	0	0	0	0	0	5
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Tricholomataceae;Collybia	0	30	1	4	20	49
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Tricholomataceae;Gymnopus	7	35	17	4	183	599
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Tricholomataceae;Hemimycena	0	0	0	0	2	7
